istat_comune;comune;provincia;numero_comuni;popolazione;crt;cts;crd;ctr;csl;cc;ck;ctot
01006025;Cabella Ligure;Alessandria;1;456;50,16;68,44;20,75;17,33;26,37;36,80;18,31;308,49
01006028;Cantalupo Ligure;Alessandria;1;448;41,61;65,28;18,41;17,35;;40,54;36,65;283,85
01006029;Capriata d'Orba;Alessandria;1;1.760;20,97;12,67;93,12;20,38;1,53;13,58;24,94;194,46
01006030;Carbonara Scrivia;Alessandria;1;1.118;10,56;14,20;49,83;17,71;;14,34;48,61;162,87
01006031;Carentino;Alessandria;1;321;10,54;9,97;27,18;10,83;1,74;44,41;14,25;118,93
01006032;Carezzano;Alessandria;1;430;16,54;13,61;74,17;13,26;;30,13;33,99;187,74
01006033;Carpeneto;Alessandria;1;874;22,80;14,44;89,39;20,52;24,07;40,87;24,10;237,79
01006034;Carrega Ligure;Alessandria;1;82;82,24;159,76;46,60;42,46;;64,93;85,35;688,72
01006035;Carrosio;Alessandria;1;496;24,23;5,96;90,00;13,28;;4,15;21,43;165,48
01006036;Cartosio;Alessandria;1;710;50,23;7,49;38,49;13,05;;26,80;14,56;151,34
01006037;Casal Cermelli;Alessandria;1;1.177;12,91;20,06;30,72;13,23;21,00;25,71;11,55;135,18
01006039;Casale Monferrato;Alessandria;1;32.217;26,03;26,85;65,22;17,29;23,70;30,60;30,31;219,99
01006038;Casaleggio Boiro;Alessandria;1;353;22,42;14,21;87,94;20,19;23,67;40,20;23,71;233,92
01006040;Casalnoceto;Alessandria;1;969;41,91;85,64;25,74;;;34,56;16,78;226,22
01006041;Casasco;Alessandria;1;121;42,01;58,16;16,68;15,46;;57,23;24,74;254,20
01006191;Cassano Spinola;Alessandria;1;1.792;16,51;13,98;70,93;18,95;1,63;32,35;34,33;196,21
01006043;Cassine;Alessandria;1;2.799;22,64;14,34;88,75;20,38;23,89;40,58;23,92;236,09
01006044;Cassinelle;Alessandria;1;851;22,76;14,42;89,25;20,49;24,03;40,80;24,06;237,40
01006045;Castellania;Alessandria;1;85;47,52;62,89;18,85;16,72;;88,00;59,49;327,49
01006046;Castellar Guidobono;Alessandria;1;408;18,42;21,02;46,59;13,13;;11,00;17,66;134,15
01006047;Castellazzo Bormida;Alessandria;1;4.458;11,34;14,44;59,34;22,85;5,42;25,78;30,28;175,12
01006048;Castelletto d'Erro;Alessandria;1;129;22,41;14,20;87,88;20,17;23,66;40,18;23,69;233,75
01006049;Castelletto d'Orba;Alessandria;1;1.815;22,37;14,17;87,72;20,14;23,62;40,11;23,65;233,35
01006051;Castelletto Monferrato;Alessandria;1;1.423;9,74;9,88;65,74;19,00;16,50;41,68;8,37;170,91
01006052;Castelnuovo Bormida;Alessandria;1;616;12,13;18,21;29,24;16,78;4,91;31,46;20,59;133,31
01006053;Castelnuovo Scrivia;Alessandria;1;4.847;17,49;36,27;61,77;25,03;21,36;30,10;18,74;217,68
01006054;Castelspina;Alessandria;1;385;12,38;10,67;38,86;21,12;21,26;46,66;4,54;155,50
01006055;Cavatore;Alessandria;1;258;59,58;37,10;30,19;11,32;11,65;32,28;17,79;200,66
01006058;Cerreto Grue;Alessandria;1;295;30,33;46,06;12,01;12,24;;44,45;10,94;178,17
01006061;Conzano;Alessandria;1;932;11,83;10,57;34,66;20,28;11,89;42,52;10,74;142,48
01006062;Costa Vescovato;Alessandria;1;312;33,76;52,94;13,58;14,07;17,13;23,00;12,18;193,58
01006063;Cremolino;Alessandria;1;1.031;21,31;13,50;83,56;19,18;22,50;38,20;22,52;222,27
01006065;Denice;Alessandria;1;164;55,77;6,28;36,63;19,49;;79,98;17,41;216,33
01006066;Dernice;Alessandria;1;177;42,41;62,46;16,79;16,60;;52,40;14,69;244,35
01006067;Fabbrica Curone;Alessandria;1;566;49,39;72,88;19,90;19,37;9,83;38,68;34,40;321,49
01006068;Felizzano;Alessandria;1;2.089;12,78;14,83;33,39;18,12;16,21;35,51;32,91;163,76
01006069;Fraconalto;Alessandria;1;305;24,52;29,20;85,04;20,94;;14,19;31,72;212,00
01006070;Francavilla Bisio;Alessandria;1;512;18,82;10,02;82,92;38,79;1,68;23,28;34,63;216,18
01006071;Frascaro;Alessandria;1;418;11,80;17,97;30,68;17,09;0,08;31,11;16,38;125,11
01006074;Fresonara;Alessandria;1;633;15,96;10,67;83,54;29,51;1,34;12,87;35,61;195,62
01006075;Frugarolo;Alessandria;1;1.878;12,38;16,80;31,81;15,49;5,30;28,71;10,71;121,19
01006076;Fubine;Alessandria;1;1.605;12,26;14,36;35,08;21,86;6,65;56,20;17,39;163,80
01006078;Gamalero;Alessandria;1;794;11,36;10,28;30,57;11,15;20,36;29,82;15,97;129,51
01006079;Garbagna;Alessandria;1;617;43,81;60,54;17,84;16,09;18,33;30,78;15,80;240,35
01006081;Gavi;Alessandria;1;4.391;20,48;16,58;90,32;16,94;18,09;21,33;39,40;229,18
01006083;Gremiasco;Alessandria;1;280;41,55;64,24;16,64;17,08;;30,51;18,29;225,47
01006084;Grognardo;Alessandria;1;230;22,63;14,33;88,71;20,37;23,88;40,56;23,91;235,99
01006085;Grondona;Alessandria;1;466;35,09;51,26;14,86;13,62;;47,08;56,57;255,63
01006086;Guazzora;Alessandria;1;281;14,81;16,70;79,00;30,49;14,72;21,11;19,05;203,91
01006087;Isola Sant'Antonio;Alessandria;1;668;7,52;13,48;44,50;19,54;6,48;23,73;29,25;151,34
01006088;Lerma;Alessandria;1;802;21,99;13,93;86,22;19,79;23,21;39,42;23,24;229,35
01006193;Lu e Cuccaro Monferrato;Alessandria;1;1.296;12,05;10,09;35,03;17,24;18,96;30,11;22,02;145,49
01006090;Malvicino;Alessandria;1;78;21,95;13,91;86,08;19,76;23,18;39,36;23,21;228,97
01006091;Masio;Alessandria;1;1.274;11,01;9,58;29,01;12,67;10,73;30,18;11,64;114,82
01006092;Melazzo;Alessandria;1;1.196;63,65;8,26;28,65;20,40;11,56;13,90;17,48;164,69
01006093;Merana;Alessandria;1;179;22,98;14,56;90,12;20,69;24,26;41,20;24,29;239,72
01006095;Molare;Alessandria;1;2.002;21,93;13,89;85,98;19,74;23,15;39,31;23,18;228,70
01006096;Molino dei Torti;Alessandria;1;577;8,37;11,98;52,58;21,12;14,59;27,59;30,61;174,57
01006098;Momperone;Alessandria;1;197;49,38;76,64;20,19;20,38;;42,42;17,52;253,12
01006100;Mongiardino Ligure;Alessandria;1;150;54,00;87,21;22,87;23,18;;34,19;19,47;316,67
01006101;Monleale;Alessandria;1;557;31,83;57,23;12,88;15,21;;18,22;20,41;180,95
01006102;Montacuto;Alessandria;1;234;47,72;70,19;18,89;18,66;;63,00;24,97;304,76
01006103;Montaldeo;Alessandria;1;208;22,99;14,56;90,13;20,69;24,26;41,21;24,30;239,75
01006104;Montaldo Bormida;Alessandria;1;586;23,04;14,59;90,32;20,74;24,32;41,30;24,35;240,26
01006105;Montecastello;Alessandria;1;280;12,37;14,68;28,86;13,05;48,66;31,91;23,41;172,94
01006106;Montechiaro d'Acqui;Alessandria;1;506;54,85;10,26;37,69;15,18;30,00;26,61;20,53;195,89
01006107;Montegioco;Alessandria;1;273;33,27;61,73;13,71;16,41;;26,22;23,52;195,79
01006108;Montemarzino;Alessandria;1;312;33,97;56,34;13,46;14,98;;24,98;18,65;190,73
01006110;Morbello;Alessandria;1;399;67,76;9,30;23,47;17,24;25,11;59,21;21,63;224,51
01006111;Mornese;Alessandria;1;676;22,80;14,44;89,39;20,52;24,07;40,87;24,10;237,78
01006112;Morsasco;Alessandria;1;604;22,61;14,32;88,64;20,35;23,86;40,53;23,89;235,79
01006114;Novi Ligure;Alessandria;1;27.343;16,46;24,53;73,53;21,14;25,80;37,02;18,35;234,62
01006119;Orsara Bormida;Alessandria;1;387;22,52;14,27;88,32;20,28;23,78;40,38;23,81;234,95
01006121;Ovada;Alessandria;1;10.855;22,21;14,07;87,08;19,99;23,44;39,81;23,47;231,63
01006122;Oviglio;Alessandria;1;1.210;11,53;13,10;30,32;16,33;6,75;29,66;25,64;133,33
01006124;Paderna;Alessandria;1;186;35,46;97,70;25,01;;4,28;31,34;64,41;287,83
01006125;Pareto;Alessandria;1;513;62,01;25,84;29,88;15,86;10,16;18,20;19,78;182,51
01006126;Parodi Ligure;Alessandria;1;587;26,72;7,75;117,71;15,44;1,69;25,42;46,84;248,24
01006127;Pasturana;Alessandria;1;1.268;17,79;12,84;79,00;29,46;1,01;21,06;32,86;201,26
01006128;Pecetto di Valenza;Alessandria;1;1.169;6,27;4,34;19,57;6,54;3,34;34,91;12,35;87,32
01006129;Pietra Marazzi;Alessandria;1;878;10,67;7,15;29,97;17,64;17,48;43,07;5,84;131,82
01006132;Pontecurone;Alessandria;1;3.481;10,75;12,77;52,96;22,19;11,14;28,17;29,90;173,72
01006134;Ponti;Alessandria;1;503;60,59;10,82;36,66;21,45;25,90;24,42;18,17;198,81
01006136;Ponzone;Alessandria;1;1.002;22,44;14,22;87,98;20,20;23,69;40,22;23,72;234,03
01006137;Pozzol Groppo;Alessandria;1;295;40,63;59,45;16,09;15,80;;45,51;14,53;226,25
01006138;Pozzolo Formigaro;Alessandria;1;4.534;18,11;12,93;75,06;22,57;14,45;16,44;26,04;194,12
01006139;Prasco;Alessandria;1;496;22,37;14,18;87,72;20,14;23,62;40,11;23,65;233,35
01006140;Predosa;Alessandria;1;1.901;18,56;15,17;77,02;23,10;1,96;13,21;34,80;190,68
01006141;Quargnento;Alessandria;1;1.336;12,35;17,18;30,42;14,37;17,23;28,63;3,80;123,98
01006142;Quattordio;Alessandria;1;1.468;13,84;20,39;24,21;23,84;2,26;55,14;6,93;146,60
01006143;Ricaldone;Alessandria;1;607;22,49;14,25;88,20;20,25;23,75;40,33;23,78;234,62
01006144;Rivalta Bormida;Alessandria;1;1.365;22,37;14,17;87,71;20,13;23,61;40,10;23,64;233,31
01006145;Rivarone;Alessandria;1;390;10,73;4,46;41,02;8,58;31,20;25,31;12,45;133,76
01006147;Rocca Grimalda;Alessandria;1;1.405;22,02;13,95;86,33;19,82;23,24;39,47;23,27;229,64
01006146;Roccaforte Ligure;Alessandria;1;120;45,22;85,76;22,90;22,79;1,67;29,34;32,05;298,11
01006148;Rocchetta Ligure;Alessandria;1;224;35,13;47,21;15,21;12,55;;42,54;25,12;223,16
01006151;Sale;Alessandria;1;3.857;12,15;14,19;57,35;20,99;13,43;29,43;30,85;185,03
01006152;San Cristoforo;Alessandria;1;520;22,79;14,44;89,38;20,52;24,06;40,86;24,09;237,75
01006154;San Salvatore Monferrato;Alessandria;1;4.018;9,73;12,69;38,77;12,86;16,06;29,58;25,80;145,48
01006155;San Sebastiano Curone;Alessandria;1;552;29,78;52,59;12,01;13,98;14,14;14,83;31,18;191,11
01006156;Sant'Agata Fossili;Alessandria;1;362;29,43;102,69;15,30;;;16,69;11,28;203,38
01006157;Sardigliano;Alessandria;1;376;16,96;9,66;79,88;13,50;1,58;16,60;39,24;183,39
01006158;Sarezzano;Alessandria;1;1.098;27,50;46,23;10,89;12,29;2,01;18,82;24,24;162,35
01006160;Serravalle Scrivia;Alessandria;1;5.905;13,96;16,15;67,20;23,82;30,03;32,69;35,20;227,73
01006161;Sezzadio;Alessandria;1;1.199;12,29;16,26;32,80;14,59;17,35;31,33;4,05;128,68
01006162;Silvano d'Orba;Alessandria;1;1.891;22,40;14,19;87,84;20,17;23,65;40,16;23,68;233,67
01006163;Solero;Alessandria;1;1.576;12,63;16,83;31,97;15,84;6,80;31,33;15,26;130,66
01006165;Spigno Monferrato;Alessandria;1;901;63,15;12,58;33,86;15,92;7,78;38,72;19,34;192,16
01006166;Spineto Scrivia;Alessandria;1;365;17,90;13,82;68,94;12,07;;8,91;22,23;150,25
01006167;Stazzano;Alessandria;1;2.283;26,89;59,78;17,29;16,23;7,22;20,85;14,93;183,59
01006168;Strevi;Alessandria;1;1.954;22,32;14,14;87,51;20,09;23,56;40,01;23,59;232,78
01006169;Tagliolo Monferrato;Alessandria;1;1.479;22,63;14,34;88,73;20,37;23,89;40,57;23,92;236,03
01006170;Tassarolo;Alessandria;1;585;19,28;9,41;75,67;33,30;1,34;17,41;42,88;205,63
01006172;Terzo;Alessandria;1;822;22,21;14,07;87,09;19,99;23,45;39,82;23,48;231,67
01006174;Tortona;Alessandria;1;26.542;22,81;26,34;52,81;20,95;25,79;27,27;32,17;218,24
01006176;Trisobbio;Alessandria;1;650;22,34;14,15;87,60;20,11;23,58;40,05;23,61;233,02
01006177;Valenza;Alessandria;1;18.096;19,76;54,64;33,79;6,03;23,09;34,59;25,10;215,13
01006180;Vignole Borbera;Alessandria;1;2.045;29,56;45,53;15,87;12,10;9,80;36,27;25,38;194,60
01006181;Viguzzolo;Alessandria;1;3.070;9,71;9,99;46,12;16,59;1,05;22,65;26,47;138,20
01006183;Villalvernia;Alessandria;1;856;32,60;63,00;23,66;15,75;;24,02;38,00;219,00
01006186;Villaromagnano;Alessandria;1;654;12,90;4,75;63,19;22,82;1,60;15,21;31,58;157,96
01006187;Visone;Alessandria;1;1.180;22,03;13,96;86,38;19,83;23,26;39,49;23,29;229,79
01006188;Volpedo;Alessandria;1;1.134;30,37;51,09;12,17;13,58;;22,26;42,70;203,12
01006189;Volpeglino;Alessandria;1;126;59,26;66,82;23,46;17,76;;102,17;21,25;315,83
01006190;Voltaggio;Alessandria;1;651;27,04;7,33;103,06;25,31;4,47;9,44;30,98;213,88
11042001;Agugliano;Ancona;1;4.649;6,22;9,83;51,31;13,52;14,39;11,39;6,43;113,11
11042002;Ancona;Ancona;1;99.239;24,41;24,83;37,30;16,11;24,70;43,72;29,04;200,11
11042004;Barbara;Ancona;1;1.263;14,70;15,38;49,93;13,24;8,05;20,69;5,57;127,56
11042006;Camerano;Ancona;1;7.070;12,09;8,05;58,73;19,29;13,82;15,80;3,22;130,99
11042007;Camerata Picena;Ancona;1;2.493;8,18;13,17;58,05;15,91;14,19;18,50;14,19;142,21
11042008;Castelbellino;Ancona;1;4.946;22,43;15,06;34,48;22,09;14,37;16,25;4,87;129,54
11042010;Castelfidardo;Ancona;1;18.444;9,61;9,97;40,22;19,46;10,26;25,12;12,30;126,94
11042011;Castelleone di Suasa;Ancona;1;1.551;12,45;14,48;37,07;16,15;8,54;21,61;3,53;113,83
11042012;Castelplanio;Ancona;1;3.565;27,85;20,72;46,02;22,76;13,14;9,91;5,30;145,70
11042014;Chiaravalle;Ancona;1;14.282;10,08;10,65;45,13;19,42;17,84;26,93;134,01;264,06
11042015;Corinaldo;Ancona;1;4.745;12,18;15,01;48,02;18,11;9,56;41,11;10,95;154,94
11042016;Cupramontana;Ancona;1;4.394;29,58;15,83;45,56;23,45;21,77;14,28;13,01;163,48
11042018;Falconara Marittima;Ancona;1;25.687;27,81;21,30;46,74;18,48;37,81;57,31;18,21;229,55
11042019;Filottrano;Ancona;1;8.891;14,13;12,12;53,20;19,01;14,77;24,07;6,97;144,27
11042020;Genga;Ancona;1;1.668;19,88;27,48;60,62;10,35;26,46;11,61;18,73;175,12
11042021;Jesi;Ancona;1;39.399;11,93;28,25;44,96;27,20;35,05;6,47;4,37;158,22
11042022;Loreto;Ancona;1;12.986;13,80;11,76;35,32;15,55;16,27;5,35;16,80;116,00
11042023;Maiolati Spontini;Ancona;1;5.986;25,88;17,37;39,85;28,96;13,94;13,23;6,49;145,71
11042024;Mergo;Ancona;1;985;30,46;21,20;47,55;16,12;22,98;15,59;3,54;157,44
11042029;Monte Roberto;Ancona;1;2.983;27,18;17,68;42,48;27,41;9,35;11,49;2,89;138,47
11042030;Monte San Vito;Ancona;1;6.689;10,65;9,58;46,10;25,58;11,50;26,84;14,64;144,91
11042026;Montecarotto;Ancona;1;1.849;26,97;17,35;42,26;24,49;18,92;20,99;9,80;160,78
11042027;Montemarciano;Ancona;1;9.789;14,88;11,62;55,92;13,24;15,33;34,17;8,17;153,34
11042032;Numana;Ancona;1;3.758;8,04;50,39;208,62;59,39;49,91;73,48;27,08;477,14
11042034;Osimo;Ancona;1;34.844;13,46;16,42;65,14;19,26;21,28;26,96;11,96;174,70
11042035;Ostra;Ancona;1;6.267;13,42;18,40;50,69;26,55;12,60;11,00;6,65;139,31
11042036;Ostra Vetere;Ancona;1;3.095;16,32;14,65;53,60;18,59;11,18;34,22;21,03;169,57
11042037;Poggio San Marcello;Ancona;1;700;25,65;16,34;40,25;23,42;15,65;16,62;5,43;143,35
11042038;Polverigi;Ancona;1;4.593;6,72;10,57;52,24;13,35;16,75;11,94;4,71;116,31
11042040;Rosora;Ancona;1;1.824;30,03;17,97;46,96;23,46;23,32;12,66;3,68;158,09
11042042;San Paolo di Jesi;Ancona;1;890;26,64;28,25;41,76;17,60;12,87;16,19;5,22;148,54
11042043;Santa Maria Nuova;Ancona;1;3.954;7,19;11,87;55,63;13,32;13,76;13,73;5,25;120,77
11042044;Sassoferrato;Ancona;1;6.823;12,45;14,26;58,31;17,34;12,19;35,59;26,63;176,76
11042045;Senigallia;Ancona;1;44.053;14,21;19,61;69,12;20,43;40,99;22,48;10,27;197,11
11042046;Serra de' Conti;Ancona;1;3.581;5,76;8,12;40,98;11,51;9,39;19,77;12,26;107,79
11042048;Sirolo;Ancona;1;4.085;22,56;21,00;87,13;30,34;38,46;29,93;9,30;238,72
11042049;Staffolo;Ancona;1;2.105;24,92;26,80;38,97;18,97;22,80;27,54;6,93;166,94
11042050;Trecastelli;Ancona;1;7.599;12,31;14,51;50,31;17,00;3,34;13,78;7,25;118,49
02007001;Allein;Aosta;1;208;5,50;14,78;59,86;21,27;9,25;33,47;79,11;228,80
02007002;Antey-Saint-Andre;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007003;Aosta;Aosta;1;33.176;18,09;16,53;37,37;22,71;43,09;42,09;5,86;185,74
02007004;Arnad;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007005;Arvier;Aosta;1;806;30,01;38,36;41,30;21,03;8,20;24,99;47,33;240,21
02007006;Avise;Aosta;1;302;24,96;31,92;34,36;17,50;6,42;27,10;30,22;213,12
02007007;Ayas;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007008;Aymavilles;Aosta;1;2.104;26,29;33,61;36,19;18,43;3,86;19,06;129,46;266,90
02007009;Bard;Aosta;1;102;32,10;31,09;91,31;24,19;1,50;68,47;52,48;307,92
02007010;Bionaz;Aosta;1;222;7,25;19,46;78,80;28,00;12,17;44,06;104,13;301,18
02007011;Brissogne;Aosta;1;952;11,76;30,30;43,45;22,01;6,98;23,77;35,97;196,50
02007012;Brusson;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007013;Challand-Saint-Anselme;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007014;Challand-Saint-Victor;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007015;Chambave;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007016;Chamois;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007017;Champdepraz;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007018;Champorcher;Aosta;1;367;49,21;47,67;140,01;37,09;17,43;66,68;20,28;389,07
02007019;Charvensod;Aosta;1;2.421;12,38;31,89;45,73;23,17;7,35;25,03;37,87;206,84
02007020;Chatillon - Dato aggregazione SUB-ATO D UC EVANCON UC MONT CERVIN;Aosta;21;26.825;32,49;21,58;59,90;24,26;9,52;33,05;61,74;242,52
02007021;Cogne;Aosta;1;1.313;49,32;63,06;67,89;34,57;36,74;51,55;6,84;456,35
02007022;Courmayeur;Aosta;1;2.608;86,83;101,80;98,32;34,98;61,17;95,47;81,78;697,98
02007023;Donnas;Aosta;1;2.394;18,24;16,26;47,76;12,65;0,78;25,20;9,44;132,60
02007024;Doues;Aosta;1;502;5,42;14,55;58,94;20,94;9,10;32,96;77,89;225,28
02007025;Emarese;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007026;Etroubles;Aosta;1;481;8,39;22,52;91,21;32,41;14,09;51,01;120,54;348,64
02007027;Fenis;Aosta;1;1.764;11,31;29,13;41,78;21,16;6,71;22,86;34,59;188,95
02007028;Fontainemore;Aosta;1;431;25,52;24,05;70,63;18,71;2,65;37,23;27,94;207,18
02007029;Gaby;Aosta;1;418;25,39;16,27;61,89;27,81;2,16;56,65;10,94;201,57
02007030;Gignod;Aosta;1;1.683;3,90;10,47;42,40;15,06;6,55;23,71;56,03;162,06
02007031;Gressan;Aosta;1;3.374;17,85;45,99;65,94;33,40;10,60;36,08;54,60;298,24
02007032;Gressoney-La-Trinite;Aosta;1;324;65,60;41,99;155,47;71,75;47,83;109,78;55,52;548,55
02007033;Gressoney-Saint-Jean;Aosta;1;761;40,42;26,82;99,43;45,82;11,62;110,00;29,94;364,29
02007034;Hone;Aosta;1;1.160;21,01;20,36;59,79;15,84;0,98;32,81;8,74;166,54
02007035;Introd;Aosta;1;651;26,35;33,69;36,27;18,47;9,02;24,08;54,98;218,28
02007036;Issime;Aosta;1;384;22,14;11,81;46,33;20,18;5,19;41,35;20,74;168,25
02007037;Issogne;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007038;Jovencan;Aosta;1;715;9,94;25,61;36,72;18,60;5,90;20,09;30,40;166,07
02007039;La Magdeleine;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007040;La Salle;Aosta;1;2.031;31,02;36,37;35,13;12,50;13,07;37,07;1,97;246,61
02007041;La Thuile;Aosta;1;774;93,64;109,80;106,04;37,73;40,71;140,13;80,08;746,61
02007042;Lillianes;Aosta;1;413;25,73;23,93;70,30;18,62;1,85;38,16;37,62;216,67
02007043;Montjovet;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007044;Morgex;Aosta;1;2.057;30,17;35,37;34,16;12,16;24,19;35,98;17,99;243,01
02007045;Nus;Aosta;1;2.953;10,45;26,92;38,61;19,56;6,20;21,13;31,97;174,61
02007046;Ollomont;Aosta;1;165;14,43;38,75;156,95;55,76;24,24;87,76;207,40;599,87
02007047;Oyace;Aosta;1;202;4,39;11,77;47,67;16,94;7,36;26,66;63,00;182,22
02007048;Perloz;Aosta;1;446;22,73;21,34;63,58;16,61;1,03;33,13;23,62;182,47
02007049;Pollein;Aosta;1;1.493;14,55;37,48;53,75;27,22;8,64;29,41;44,50;243,08
02007050;Pontboset;Aosta;1;171;30,05;27,09;79,56;21,08;1,30;46,36;5,17;227,85
02007051;Pontey;Aosta;Vedi aggregazione: SUB-ATO D UC EVANCON UC MONT CERVIN;;;;;;;;;
02007052;Pont-Saint-Martin;Aosta;1;3.535;22,22;21,53;63,22;16,75;5,46;29,98;8,70;173,95
02007053;Pre-Saint-Didier;Aosta;1;958;51,92;60,88;58,80;20,92;52,42;85,69;11,51;450,70
02007054;Quart;Aosta;1;4.127;12,06;31,08;44,56;22,57;7,16;24,39;36,90;201,55
02007055;Rhemes-Notre-Dame;Aosta;1;76;113,13;144,64;155,72;79,29;29,86;129,71;19,43;928,16
