Quantitativi di rifiuti speciali esportati per regione - 2019 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
BRASILE;2019;              74,0;               0,0;              74,0;
BRUNEI DARUSSALAM;2019;           1.190,5;               0,0;           1.190,5;
BULGARIA;2019;          90.835,0;          12.994,3;         103.829,2;
CANADA;2019;              68,3;               6,8;              75,0;
CILE;2019;              50,4;               0,0;              50,4;
CINA;2019;          53.050,9;               0,0;          53.050,9;
COREA DEL SUD;2019;          51.270,6;               0,0;          51.270,6;
CROAZIA;2019;          41.186,5;              95,9;          41.282,4;
DANIMARCA;2019;          44.359,2;          17.871,9;          62.231,1;
EGITTO;2019;             791,2;               0,0;             791,2;
EIRE;2019;               8,7;               0,0;               8,7;
EMIRATI ARABI UNITI;2019;             192,9;               0,0;             192,9;
ESTONIA;2019;              24,4;               0,0;              24,4;
FEDERAZIONE RUSSA;2019;             219,4;               0,0;             219,4;
FIJI;2019;               3,1;               0,0;               3,1;
FILIPPINE;2019;              18,7;               0,0;              18,7;
FINLANDIA;2019;             156,8;               0,0;             156,8;
FRANCIA;2019;         109.283,2;         186.140,8;         295.424,0;
GERMANIA;2019;         308.405,5;         512.118,5;         820.524,0;
GIAPPONE;2019;           8.261,5;               0,0;           8.261,5;
GRECIA;2019;          38.754,3;           1.701,7;          40.456,0;
HONDURAS;2019;              74,9;               0,0;              74,9;
HONG KONG;2019;          26.792,6;               0,0;          26.792,6;
INDIA;2019;          71.687,3;               0,0;          71.687,3;
INDONESIA;2019;           9.065,1;               0,0;           9.065,1;
ISRAELE;2019;          24.500,0;               0,0;          24.500,0;
LAOS;2019;             913,9;               0,0;             913,9;
LETTONIA;2019;           8.945,8;               0,0;           8.945,8;
LIBANO;2019;               0,0;             289,0;             289,0;
LIECHTENSTEIN;2019;             247,0;               0,0;             247,0;
LITUANIA;2019;              20,3;               0,0;              20,3;
MALESIA;2019;          38.921,6;               0,0;          38.921,6;
MALTA;2019;              15,9;               0,0;              15,9;
NORVEGIA;2019;           1.190,1;          32.246,2;          33.436,4;
NUOVA ZELANDA;2019;             678,7;               0,0;             678,7;
PAESI BASSI;2019;          19.921,0;          44.179,9;          64.100,9;
PAKISTAN;2019;          52.487,6;               0,0;          52.487,6;
POLONIA;2019;          75.105,9;          23.226,2;          98.332,1;
PORTOGALLO;2019;         154.270,1;          50.173,9;         204.444,0;
REGNO UNITO;2019;          23.933,7;               0,5;          23.934,2;
REPUBBLICA CECA;2019;          66.066,6;              18,9;          66.085,5;
ROMANIA;2019;          32.041,4;               0,0;          32.041,4;
SERBIA E MONTENEGRO;2019;           3.544,2;               0,1;           3.544,4;
SEYCHELLES;2019;               1,3;               0,0;               1,3;
SINGAPORE;2019;             415,9;               0,0;             415,9;
SLOVACCHIA;2019;          39.860,3;               0,0;          39.860,3;
SLOVENIA;2019;         215.715,1;          13.248,8;         228.963,9;
SPAGNA;2019;         101.205,9;          78.780,3;         179.986,2;
SRI LANKA;2019;              21,6;               0,0;              21,6;
SVEZIA;2019;           2.998,3;          25.258,9;          28.257,1;
SVIZZERA;2019;          70.950,3;          65.858,7;         136.809,0;
TAIWAN;2019;           3.424,8;               0,0;           3.424,8;
THAILANDIA;2019;          14.651,7;               0,0;          14.651,7;
TUNISIA;2019;              89,9;               0,0;              89,9;
TURCHIA;2019;         149.835,5;               0,0;         149.835,5;
TUVALU;2019;             292,2;               0,0;             292,2;
UCRAINA;2019;              42,6;               0,0;              42,6;
UNGHERIA;2019;         289.668,2;             696,0;         290.364,2;
USA;2019;          65.935,1;             119,5;          66.054,6;
VIETNAM;2019;           7.761,4;               0,0;           7.761,4;
YEMEN;2019;               1,0;               0,0;               1,0;
TOTALE;;       2.746.727,5;       1.195.678,6;       3.942.406,1;
		
Andamento delle esportazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2019;       3.942.406,1;
2018;       3.475.285,8;

